Tree Number,Funder,Scientific Name,Common Name,Street Address,Other Add Info,City,Ownership,X Coordinate,Y Coordinate,Census Tract,DAC Status,Date Planted,Stock Size,Grow Space,Planted By
2018092266.0,Match,Celtis Sinensis,Chinese Hackberry,5302 Rosebay St.,SoCo -- Carver School,Long Beach,Public,-118.129001,33.813805,6037574100,,2018-09-22 00:00:00,15-Gallon,5' parkway,Neighborhood Services
2018092267.0,Match,Celtis Sinensis,Chinese Hackberry,5302 Rosebay St.,SoCo -- Carver School,Long Beach,Public,-118.129001,33.812833,6037574100,,2018-09-22 00:00:00,15-Gallon,5' parkway,Neighborhood Services
2018092268.0,Match,Celtis Sinensis,Chinese Hackberry,5312 Rosebay St.,SoCo -- Carver School,Long Beach,Public,-118.129001,33.813811,6037574100,,2018-09-22 00:00:00,15-Gallon,5' parkway,Neighborhood Services
2018092269.0,Match,Celtis Sinensis,Chinese Hackberry,5319 Rosebay St.,SoCo -- Carver School,Long Beach,Public,-118.129001,33.814055,6037574100,,2018-09-22 00:00:00,15-Gallon,5' parkway,Neighborhood Services
2018092270.0,Match,Celtis Sinensis,Chinese Hackberry,5319 Rosebay St.,SoCo -- Carver School,Long Beach,Public,-118.129001,33.813888,6037574100,,2018-09-22 00:00:00,15-Gallon,5' parkway,Neighborhood Services
2018092271.0,Match,Celtis Sinensis,Chinese Hackberry,5430 Rosebay St.,SoCo -- Carver School,Long Beach,Public,-118.126001,33.813888,6037574100,,2018-09-22 00:00:00,15-Gallon,5' parkway,Neighborhood Services
2018092272.0,Match,Celtis Sinensis,Chinese Hackberry,5430 Rosebay St.,SoCo -- Carver School,Long Beach,Public,-118.126001,33.814305,6037574100,,2018-09-22 00:00:00,15-Gallon,5' parkway,Neighborhood Services
2018092215.0,Match,Jacaranda Mimosifolia ,Jacaranda,3064 Montair Ave,SoCo -- Carver School,Long Beach,Public,-118.126001,33.812465,6037574100,,2018-09-22 00:00:00,15-Gallon,5' parkway,Neighborhood Services
2018092216.0,Match,Jacaranda Mimosifolia ,Jacaranda,3064 Montair Ave,SoCo -- Carver School,Long Beach,Public,-118.126001,33.811333,6037574100,,2018-09-22 00:00:00,15-Gallon,5' parkway,Neighborhood Services
2018092273.0,Match,Jacaranda Mimosifolia ,Jacaranda,5279 Pageantry St.,SoCo -- Carver School,Long Beach,Public,-118.13001,33.813888,6037574100,,2018-09-22 00:00:00,15-Gallon,5' parkway,Neighborhood Services
