STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,geometry
06,037,554301,06037554301,5543.01,Census Tract 5543.01,G5020,S,675594,0,+33.8822626,-118.1456094,"MULTILINESTRING ((-118.151304 33.877832, -118.151295 33.878357), (-118.151295 33.878357, -118.151296 33.878636), (-118.151296 33.878636, -118.151298 33.878914), (-118.151298 33.878914, -118.151296 33.879051), (-118.151296 33.879051, -118.15129400000001 33.879717), (-118.15129400000001 33.879717, -118.15129400000001 33.879807), (-118.151288 33.876939, -118.151291 33.877155), (-118.151291 33.877155, -118.151291 33.877485), (-118.151291 33.877485, -118.151302 33.877621999999995), (-118.151302 33.877621999999995, -118.151304 33.877832))"
06,037,553902,06037553902,5539.02,Census Tract 5539.02,G5020,S,1055808,0,+33.8851402,-118.1530886,"POLYGON ((-118.16113899999999 33.778971, -118.160048 33.778969, -118.158928 33.778968, -118.157837 33.778959, -118.156756 33.778965, -118.155665 33.778963, -118.154584 33.778968, -118.153493 33.778966, -118.152412 33.778964, -118.152408 33.777150999999996, -118.152411 33.775349999999996, -118.152412 33.775331, -118.153494 33.775332999999996, -118.154583 33.77534, -118.154694 33.775338999999995, -118.155666 33.775335999999996, -118.156482 33.775335999999996, -118.156747 33.775337, -118.157838 33.775335999999996, -118.158927 33.775334, -118.160049 33.775335, -118.161138 33.775337, -118.162221 33.775338, -118.162224 33.777152, -118.162228 33.778973, -118.16113899999999 33.778971))"
06,037,553802,06037553802,5538.02,Census Tract 5538.02,G5020,S,1732522,33698,+33.8861963,-118.1719652,"POLYGON ((-118.111864 33.781436, -118.111839 33.781484, -118.111803 33.78151, -118.111755 33.781529, -118.111703 33.781542, -118.11168 33.781548, -118.111659 33.781548, -118.111558 33.781545, -118.111534 33.781548, -118.108003 33.781528, -118.107396 33.781527, -118.106171 33.781531, -118.103832 33.781521, -118.103726 33.78152, -118.103619 33.78152, -118.103653 33.77748, -118.10367 33.77566, -118.10367600000001 33.775011, -118.10368199999999 33.774344, -118.103684 33.774179, -118.103899 33.77418, -118.104231 33.774181, -118.106709 33.774114, -118.106966 33.774108, -118.10824099999999 33.774132, -118.108876 33.774138, -118.10925499999999 33.774173, -118.109731 33.774263, -118.110322 33.774442, -118.111789 33.774926, -118.11174 33.775026, -118.111718 33.775065999999995, -118.111629 33.775213, -118.111576 33.775295, -118.111544 33.775354, -118.111494 33.775511, -118.11148 33.775593, -118.111484 33.775786, -118.111481 33.776058, -118.111491 33.776319, -118.111481 33.776672, -118.111484 33.777322999999996, -118.11147700000001 33.779105, -118.111481 33.779306, -118.111476 33.779599, -118.111481 33.780248, -118.111508 33.780502, -118.111548 33.780688, -118.111625 33.780836, -118.111695 33.780994, -118.111723 33.781042, -118.111745 33.781081, -118.11179 33.781171, -118.111831 33.781233, -118.111872 33.781313, -118.111876 33.781389, -118.111864 33.781436))"
06,037,542200,06037542200,5422,Census Tract 5422,G5020,S,1328601,58593,+33.8868935,-118.1971508,"POLYGON ((-118.152408 33.777150999999996, -118.152412 33.778964, -118.152408 33.780785, -118.152406 33.781513, -118.152404 33.782586, -118.151322 33.782596999999996, -118.150232 33.782589, -118.149631 33.782592, -118.14920599999999 33.782593999999996, -118.147516 33.782596, -118.146969 33.782596999999996, -118.14663 33.782596, -118.146204 33.782595, -118.145888 33.782595, -118.144806 33.782596, -118.143716 33.782596, -118.142625 33.782596999999996, -118.14209199999999 33.782585, -118.141553 33.782595, -118.141536 33.782595, -118.141031 33.782593999999996, -118.140501 33.782593, -118.139909 33.782592, -118.139333 33.782591, -118.138807 33.78259, -118.138624 33.78259, -118.13829 33.78259, -118.137762 33.782586, -118.13718399999999 33.782581, -118.135668 33.782586, -118.135255 33.782585, -118.13463300000001 33.782584, -118.134151 33.782582999999995, -118.132555 33.782587, -118.132544 33.782572, -118.13025400000001 33.780882, -118.129374 33.780238, -118.128495 33.779593, -118.127613 33.778945, -118.127407 33.778793, -118.12631999999999 33.777979, -118.12571299999999 33.777529, -118.12552 33.777387, -118.125239 33.77718, -118.124144 33.776379999999996, -118.123063 33.77558, -118.12270000000001 33.775321999999996, -118.123064 33.775316, -118.124147 33.775318, -118.125227 33.77532, -118.126327 33.775321999999996, -118.127416 33.775324, -118.128505 33.775326, -118.134078 33.775328, -118.134702 33.775327, -118.137177 33.775326, -118.137331 33.775324999999995, -118.138267 33.775321999999996, -118.139381 33.775344, -118.139681 33.775338, -118.140447 33.775324999999995, -118.141346 33.775326, -118.141544 33.775327, -118.142619 33.775321999999996, -118.143 33.775323, -118.143708 33.775324, -118.144846 33.775321999999996, -118.145409 33.775321, -118.145888 33.775321, -118.146683 33.775326, -118.14697 33.775329, -118.14806 33.775324, -118.149142 33.775326, -118.15023099999999 33.775328, -118.151322 33.775329, -118.152412 33.775331, -118.152411 33.775349999999996, -118.152408 33.777150999999996))"
06,037,571300,06037571300,5713,Census Tract 5713,G5020,S,2053604,43182,+33.8356188,-118.1500635,"POLYGON ((-118.194711 33.78259, -118.194407 33.782593, -118.19372 33.782593999999996, -118.193024 33.782593, -118.19237799999999 33.782592, -118.192379 33.781991999999995, -118.19238 33.781399, -118.192379 33.780811, -118.192375 33.778971999999996, -118.192372 33.778292, -118.192369 33.777758, -118.19237 33.777085, -118.192371 33.776565, -118.192371 33.776551, -118.192377 33.775878999999996, -118.192381 33.775344, -118.193028 33.775342, -118.193708 33.775338999999995, -118.193734 33.775338999999995, -118.194403 33.775335999999996, -118.19505 33.775334, -118.195053 33.775875, -118.195056 33.776541, -118.195052 33.777082, -118.19504599999999 33.777755, -118.195049 33.778295, -118.195052 33.778974999999996, -118.19505699999999 33.781394999999996, -118.195063 33.782589, -118.194711 33.78259))"
06,037,571502,06037571502,5715.02,Census Tract 5715.02,G5020,S,1374550,2381,+33.8421855,-118.1835447,"POLYGON ((-118.18502699999999 33.780922, -118.185022 33.781647, -118.18501599999999 33.782596999999996, -118.184479 33.782599, -118.183933 33.782602, -118.18338800000001 33.782601, -118.182852 33.782601, -118.182307 33.7826, -118.181761 33.782599, -118.181225 33.782599, -118.18068 33.782598, -118.180682 33.781655, -118.18067500000001 33.78083, -118.18067500000001 33.780764, -118.180678 33.778964, -118.180679 33.778290999999996, -118.18068 33.777763, -118.180677 33.777077999999996, -118.180674 33.776543, -118.180676 33.775870999999995, -118.180677 33.775343, -118.181294 33.775344, -118.181545 33.775344, -118.181813 33.775345, -118.182391 33.775345, -118.183038 33.775343, -118.183694 33.775341, -118.184341 33.775342, -118.18502 33.775342, -118.185019 33.775876, -118.185018 33.776548999999996, -118.185017 33.777083, -118.18501599999999 33.777756, -118.18501499999999 33.77829, -118.185014 33.778963, -118.185013 33.77944, -118.185013 33.779599, -118.185029 33.77962, -118.18502699999999 33.780823, -118.18502699999999 33.780922))"
06,037,571101,06037571101,5711.01,Census Tract 5711.01,G5020,S,1323727,0,+33.8432785,-118.1162992,"POLYGON ((-118.167642 33.777159999999995, -118.167642 33.777193, -118.16764 33.778064, -118.167639 33.778548, -118.167639 33.778973, -118.16764 33.782586, -118.167632 33.782607, -118.167075 33.782599, -118.166557 33.782592, -118.165468 33.782598, -118.164385 33.782603, -118.163304 33.782601, -118.162221 33.782593, -118.161115 33.782598, -118.161111 33.780809, -118.161119 33.780778, -118.16113899999999 33.778971, -118.162228 33.778973, -118.162224 33.777152, -118.162221 33.775338, -118.163283 33.775352999999996, -118.163318 33.775352999999996, -118.164376 33.775341, -118.165474 33.775335999999996, -118.165553 33.775335999999996, -118.166021 33.775335999999996, -118.166556 33.775338, -118.16664399999999 33.775338, -118.16739799999999 33.775344, -118.16764599999999 33.775346, -118.167645 33.775631, -118.167642 33.777159999999995))"
06,037,571202,06037571202,5712.02,Census Tract 5712.02,G5020,S,1307630,0,+33.8432139,-118.1335464,"POLYGON ((-118.192381 33.770503999999995, -118.19238 33.770806, -118.19237799999999 33.771043999999996, -118.19238 33.771300000000004, -118.192379 33.771707, -118.19237799999999 33.772245, -118.192377 33.772933, -118.192376 33.773458, -118.192375 33.774131, -118.192377 33.774502, -118.192377 33.774671999999995, -118.192381 33.775248, -118.192381 33.775344, -118.19172499999999 33.77534, -118.191078 33.775335999999996, -118.190422 33.775337, -118.190083 33.775338999999995, -118.18938 33.775341, -118.18932699999999 33.775341, -118.188693 33.77534, -118.18831399999999 33.77534, -118.187674 33.775338999999995, -118.187011 33.775338, -118.18635499999999 33.775337, -118.186022 33.775338, -118.185708 33.77534, -118.18502 33.775342, -118.184341 33.775342, -118.183694 33.775341, -118.183038 33.775343, -118.182391 33.775345, -118.181813 33.775345, -118.181545 33.775344, -118.181294 33.775344, -118.180677 33.775343, -118.180678 33.774671, -118.180679 33.774136, -118.18068 33.773748999999995, -118.180679 33.77368, -118.18070399999999 33.773598, -118.18073 33.773517, -118.180748 33.773457, -118.18082 33.77323, -118.180891 33.773002, -118.180902 33.772962, -118.180915 33.772923, -118.181125 33.772251, -118.181292 33.771716999999995, -118.181499 33.771043999999996, -118.18157 33.770807, -118.181662 33.770503999999995, -118.181867 33.769832, -118.181896 33.769739, -118.182078 33.769138999999996, -118.182385 33.769290999999996, -118.183042 33.769292, -118.183696 33.769292, -118.18434500000001 33.769293, -118.185031 33.769293999999995, -118.18571 33.769295, -118.186365 33.769296, -118.18701300000001 33.769293, -118.187668 33.769290999999996, -118.188324 33.769289, -118.189344 33.769286, -118.189374 33.769286, -118.190432 33.769292, -118.19074 33.769293, -118.19108 33.769295, -118.191735 33.769296, -118.192383 33.769297, -118.192382 33.769830999999996, -118.192381 33.770503999999995))"
06,037,571505,06037571505,5715.05,Census Tract 5715.05,G5020,S,655806,0,+33.8472309,-118.1723747,"POLYGON ((-118.192371 33.776551, -118.192371 33.776565, -118.19237 33.777085, -118.192369 33.777758, -118.192372 33.778292, -118.192375 33.778971999999996, -118.192379 33.780811, -118.19238 33.781399, -118.192379 33.781991999999995, -118.19237799999999 33.782592, -118.191484 33.782598, -118.191066 33.782598, -118.190094 33.782593, -118.189376 33.782589, -118.189358 33.782589, -118.18893800000001 33.782591, -118.188641 33.782591, -118.188349 33.782593, -118.187986 33.782593999999996, -118.187338 33.782603, -118.186691 33.782612, -118.18605099999999 33.782605, -118.185679 33.782604, -118.18501599999999 33.782596999999996, -118.185022 33.781647, -118.18502699999999 33.780922, -118.18502699999999 33.780823, -118.185029 33.77962, -118.185013 33.779599, -118.185013 33.77944, -118.185014 33.778963, -118.18501499999999 33.77829, -118.18501599999999 33.777756, -118.185017 33.777083, -118.185018 33.776548999999996, -118.185019 33.775876, -118.18502 33.775342, -118.185708 33.77534, -118.186022 33.775338, -118.18635499999999 33.775337, -118.187011 33.775338, -118.187674 33.775338999999995, -118.18831399999999 33.77534, -118.188693 33.77534, -118.18932699999999 33.775341, -118.18938 33.775341, -118.190083 33.775338999999995, -118.190422 33.775337, -118.191078 33.775335999999996, -118.19172499999999 33.77534, -118.192381 33.775344, -118.192377 33.775878999999996, -118.192371 33.776551))"
06,037,571703,06037571703,5717.03,Census Tract 5717.03,G5020,S,397479,0,+33.8493201,-118.1917340,"POLYGON ((-118.176331 33.780785, -118.17633000000001 33.781174, -118.176328 33.782612, -118.175594 33.782607, -118.175253 33.782605, -118.174883 33.782603, -118.174156 33.782606, -118.173611 33.782609, -118.173073 33.782607999999996, -118.171992 33.782606, -118.171984 33.782579999999996, -118.171979 33.780786, -118.171986 33.779738, -118.17199099999999 33.778971999999996, -118.171992 33.778062999999996, -118.171994 33.777225, -118.171994 33.777152, -118.17199600000001 33.776136, -118.171997 33.775338999999995, -118.173616 33.775341, -118.174706 33.775342, -118.17488399999999 33.775342, -118.174951 33.775342, -118.175495 33.775343, -118.175719 33.775343, -118.175979 33.775343, -118.17629099999999 33.775344, -118.17634100000001 33.775338, -118.176333 33.775369, -118.176339 33.77671, -118.176338 33.777224, -118.17633599999999 33.777923, -118.17633599999999 33.778062, -118.176343 33.778965, -118.176331 33.780785))"
