Tree #,Funder,Scientific Name,Street Address,Other Add. Info.,City,Ownership,X Coordinate,Y Coordinate,Census Tract,DAC Status,Date Planted,Stock Size,planted_by
1.0,CAL FIRE,Chitalpa tashkentensis,1749 Magnolia ,,Long Beach,Public,-118.19819,33.78861,6037575401.0,1A,2019-03-19,,Conservation Corps of Long Beach
2.0,CAL FIRE,Chitalpa tashkentensis,1749 Magnolia ,,Long Beach,Public,-118.19819,33.78851,6037575401.0,1A,2019-03-19,,Conservation Corps of Long Beach
3.0,CAL FIRE,Chitalpa tashkentensis,1640 Magnolia,,Long Beach,Public,-118.19804,33.78775,6037575401.0,1A,2019-03-19,,Conservation Corps of Long Beach
4.0,CAL FIRE,Chitalpa tashkentensis,1632 Magnolia,,Long Beach,Public,-118.19806,33.78765,6037575401.0,1A,2019-03-19,,Conservation Corps of Long Beach
5.0,CAL FIRE,Chitalpa tashkentensis,1600 Magnolia,,Long Beach,Public,-118.19801,33.78873,6037575401.0,1A,2019-03-19,,Conservation Corps of Long Beach
6.0,CAL FIRE,Chitalpa tashkentensis,1600 Magnolia,,Long Beach,Public,-118.19804,33.78863,6037575401.0,1A,2019-03-19,,Conservation Corps of Long Beach
7.0,CAL FIRE,Chitalpa tashkentensis,1600 Magnolia,,Long Beach,Public,-118.19802,33.78858,6037575401.0,1A,2019-03-19,,Conservation Corps of Long Beach
8.0,CAL FIRE,Tristania Conferta,1726 Henderson,,Long Beach,Public,-118.19757,33.78868,6037573004.0,1A,2019-03-14,,Conservation Corps of Long Beach
9.0,CAL FIRE,Tristania Conferta,1732 Henderson,,Long Beach,Public,-118.19756,33.78876,6037573004.0,1A,2019-03-14,,Conservation Corps of Long Beach
10.0,CAL FIRE,Tristania Conferta,1742 Henderson,,Long Beach,Public,-118.19756,33.78885,6037573004.0,1A,2019-03-19,,Conservation Corps of Long Beach
11.0,CAL FIRE,Tristania Conferta,1750 Henderson,,Long Beach,Public,-118.19753,33.78895,6037573004.0,1A,2019-03-14,,Conservation Corps of Long Beach
12.0,CAL FIRE,Tristania Conferta,1756 Henderson,,Long Beach,Public,-118.19756,33.7891,6037573004.0,1A,2019-03-14,,Conservation Corps of Long Beach
13.0,CAL FIRE,Tristania Conferta,1756 Henderson,,Long Beach,Public,-118.19757,33.78918,6037573004.0,1A,2019-03-14,,Conservation Corps of Long Beach
14.0,CAL FIRE,Tristania Conferta,1760 Henderson,,Long Beach,Public,-118.19757,33.78926,6037573004.0,1A,2019-03-14,,Conservation Corps of Long Beach
15.0,CAL FIRE,Ulmus Parifolia,1544  Henderson,,Long Beach,Public,-118.19777,33.7871,6037575401.0,1A,2019-03-14,,Conservation Corps of Long Beach
16.0,CAL FIRE,Ulmus Parifolia,1542 Henderson,,Long Beach,Public,-118.19775,33.78695,6037575401.0,1A,2019-03-14,,Conservation Corps of Long Beach
17.0,CAL FIRE,Ulmus Parifolia,1534 Henderson,,Long Beach,Public,-118.19772,33.78687,6037575401.0,1A,2019-03-14,,Conservation Corps of Long Beach
18.0,CAL FIRE,Ulmus Parifolia,1512 Henderson,,Long Beach,Public,-118.19754,33.78647,6037575401.0,1A,2019-03-18,,Conservation Corps of Long Beach
