Scientific Name,Common Name
Celtis sinensis,Chinese Hackberry
Jacaranda mimosifolia ,Jacaranda
Lagerstroemia indica,Crape Myrtle
Lophostemon confertus,Brisbane Box
"Pinus canariensis 	",Canary Island Pine
Platanus racemosa ,California Sycamore
Ulmas parvifolia ,Chinese Elm
Ulmus parvifolia,Chinese Elm
Ulmus parvifolia ,Chinese Elm
Bauhinia variegata ,Purple Orchid
Geijera parviflora,Australian Willow
Chionanthus retusus ,Chinese Fringe Tree
Schinus terebinthifolius ,Brazilian Pepper Tree
Koelreuteria bipinnata ,Chinese Flame Tree
Pyrus kawakamii ,Evergreen Pear
Cercidium hybrid,Desert Museum Palo Verde
Agonis flexuosa,Peppermint Tree
Pittosporum undulatum,Victorian Box
Podocarpus macrophyllus,African Fern Pine
Tabebuia avellanedae,Lavender Trumpet Tree
Quercus agrifolia ,Coast Live Oak
Zelkova serrata ,Sawleaf Zelkova
Cercis canadensis,Eastern Redbud
Magnolia grandiflora,Southern Magnolia
Tabebuia avellanedae ,Lavender Trumpet Tree
Olea europaea - (Fruitless),Olive
Chitalpa tashkentensis,Pink Dawn
Tristania conferta ,Brisbane Box
Cinnamomum camphora ,Camphor Tree
Tipuana tipu,Tipu Tree
Robinia ambigua idahoensis,Idaho Locust
Hymenosporum flavum,Sweet Shade
Tabebuia chrysotricha ,Golden Trumpet Tree
Cinnamomum camphora,Camphor Tree
Cercis occidentalis,Western Redbud
Handroanthus Impetiginosus,Pink Trumpet Tree
Pistacia chinensis ,Chinese Pistache
Arbus unedo,Strawberry Tree
Eucalyptus ficifolia ,Red Gum
Sapium sebiferum,Chinese Tallow Tree
Pistacia chinensis,Chinese Pistache
Ulmus parviflora,Chinese Elm
Pinus halepensis,Aleppo Pine
Quercus agrifolia,Coast Live Oak
Schinus molle,Peruvian Pepper Tree
Zelkova serrata,Sawleaf Zelkova
Arbutus unedo,Strawberry Tree
Bauhinia blakeana,Hong Kong Orchid Tree
Eucalyptus polanthermos,Silver Dollar Gum
Acer macrophyllum ,Big Leaf Maple
Liriodendron tulipifera ,Tulip Tree
Celtis reticulata ,Western or Netleaf Hackberry
Cassia leptophylla,Gold Medallion Tree
Alnus rhombifolia ,White Alder
Ginkgo Biloba,Ginkgo
TriStania conferta ,Brisbane Box
Jacaranda mimosifolia,Jacaranda
Pinus canariensis,Canary Island Pine
Schinus molle ,Peruvian Pepper Tree
Cupaniopsis anacardioides ,Carrotwood
Celtis occidentalis,Hackberry
Quercus virginiana,Southern Live Oak
Quercus Ilex,Evergreen Oak
Salix Laevigata,Red Willow
Quercas Lobata,Valley Oak
Tabebuia Impetiginosa,Pink Trumpet Tree
Tristania Laurina,Water Gum
Podocarpus Gracilior,Fern Pine
Juglans Californica,California Black Walnut
Aesculus Californica,California Horse Chestnut
Alnus Cordate,Italian Alder
